Date,Open,High,Low,Close,Adj Close,Volume
2019-10-21,25.830000,27.000000,25.240000,25.860001,25.860001,42544900
2019-10-28,26.139999,26.690001,18.709999,20.860001,20.860001,121584400
2019-11-04,20.660000,21.100000,19.600000,20.059999,20.059999,66623600
2019-11-11,20.090000,20.900000,19.530001,19.540001,19.540001,39285600
2019-11-18,19.500000,20.049999,18.375999,18.650000,18.650000,41410100
2019-11-25,18.740000,19.905001,18.639999,19.480000,19.480000,35092900
2019-12-02,19.500000,19.510000,18.150000,18.760000,18.760000,34447900
2019-12-09,18.760000,19.040001,17.389999,17.450001,17.450001,39498500
2019-12-16,17.500000,19.475000,17.420000,18.980000,18.980000,62076900
2019-12-23,19.049999,19.129999,18.190001,18.490000,18.490000,20114000
2019-12-30,18.500000,19.100000,18.030001,18.360001,18.360001,22927900
2020-01-06,18.270000,20.299999,18.219999,19.780001,19.780001,43525100
2020-01-13,19.950001,24.049999,19.410000,23.000000,23.000000,122436900
2020-01-20,23.020000,23.180000,21.930000,22.440001,22.440001,51998400
2020-01-27,21.260000,22.870001,20.770000,22.030001,22.030001,49703900
2020-02-03,22.059999,27.250000,21.540001,25.200001,25.200001,120837100
2020-02-10,24.639999,25.180000,22.980000,23.219999,23.219999,99990100
2020-02-17,23.200001,24.389999,22.299999,22.480000,22.480000,48702800
2020-02-24,21.240000,22.090000,18.920000,19.500000,19.500000,86992600
2020-03-02,19.903000,20.180000,17.820000,18.510000,18.510000,54342700
2020-03-09,17.000000,17.480000,12.190000,14.310000,14.310000,75597900
2020-03-16,12.820000,13.610000,10.100000,12.210000,12.210000,72773700
2020-03-23,12.120000,15.580000,11.470000,14.940000,14.940000,61366500
2020-03-30,14.880000,16.129999,13.380000,13.820000,13.820000,41245900
2020-04-06,14.620000,17.660000,14.425000,16.750000,16.750000,56858100
2020-04-13,16.760000,17.750000,16.138000,17.450001,17.450001,38329600
2020-04-20,17.049999,20.700001,16.430000,20.620001,20.620001,71542800
2020-04-27,20.959999,21.559999,19.561001,19.750000,19.750000,53239200
2020-05-04,19.510000,22.080000,17.200001,19.790001,19.790001,115836700
2020-05-11,19.070000,19.320000,15.820000,18.240000,18.240000,75402200
2020-05-18,18.900000,19.440001,18.040001,18.600000,18.600000,58870800
2020-05-25,19.200001,20.320000,18.250000,20.290001,20.290001,52107100
